iter	Passed	Remaining
0	192	191905
1	311	155223
2	419	139536
3	528	131538
4	637	126780
5	745	123573
6	834	118439
7	940	116638
8	1043	114866
9	1164	115317
10	1386	124696
11	1504	123891
12	1599	121404
13	1689	119006
14	1785	117229
15	1894	116517
16	1999	115598
17	2111	115193
18	2227	114986
19	2393	117266
20	2517	117361
21	2615	116266
22	2715	115345
23	2824	114881
24	2924	114053
25	3043	113998
26	3137	113052
27	3243	112611
28	3411	114236
29	3534	114289
30	3645	113946
31	3742	113219
32	3840	112531
33	3950	112230
34	4058	111893
35	4160	111409
36	4272	111189
37	4393	111224
38	4552	112173
39	4645	111496
40	4739	110867
41	4851	110664
42	4970	110633
43	5102	110855
44	5280	112060
45	5504	114156
46	5766	116915
47	5947	117959
48	6112	118628
49	6323	120144
50	6547	121837
51	6825	124433
52	7032	125663
53	7230	126666
54	7413	127378
55	7610	128285
56	7827	129502
57	8129	132037
58	8371	133516
59	8597	134696
60	8803	135509
61	8976	135806
62	9157	136198
63	9264	135495
64	9363	134689
65	9470	134021
66	9592	133580
67	9697	132914
68	9827	132604
69	9931	131945
70	10023	131151
71	10377	133757
72	10492	133243
73	10603	132688
74	10719	132201
75	10829	131665
76	10952	131284
77	11059	130734
78	11169	130210
79	11282	129748
80	11427	129648
81	11571	129545
82	11666	128898
83	11777	128429
84	11892	128021
85	12012	127665
86	12120	127196
87	12213	126571
88	12325	126163
89	12421	125594
90	12608	125950
91	12724	125589
92	12847	125297
93	12976	125075
94	13081	124621
95	13189	124197
96	13291	123733
97	13400	123335
98	13503	122894
99	13689	123204
100	13786	122712
101	13888	122274
102	14013	122040
103	14122	121674
104	14221	121224
105	14326	120829
106	14443	120541
107	14539	120085
108	14709	120243
109	14812	119847
110	14919	119492
111	15046	119300
112	15140	118846
113	15246	118493
114	15358	118190
115	15450	117744
116	15549	117350
117	15696	117321
118	15841	117281
119	15930	116821
120	16053	116621
121	16156	116273
122	16256	115907
123	16355	115541
124	16451	115162
125	16555	114835
126	16657	114506
127	16786	114360
128	16931	114320
129	17053	114125
130	17161	113840
131	17267	113546
132	17370	113233
133	17470	112909
134	17562	112527
135	17661	112202
136	17779	111995
137	17947	112108
138	18075	111963
139	18187	111720
140	18283	111389
141	18385	111088
142	18501	110881
143	18620	110689
144	18728	110431
145	18869	110371
146	19131	111014
147	19328	111268
148	19540	111601
149	19757	111961
150	19947	112152
151	20186	112619
152	20443	113174
153	20642	113399
154	20825	113532
155	21019	113723
156	21212	113900
157	21552	114855
158	21735	114968
159	21931	115138
160	22109	115218
161	22318	115448
162	22608	116094
163	22819	116323
164	22977	116280
165	23092	116017
166	23205	115749
167	23327	115528
168	23423	115177
169	23571	115082
170	23732	115056
171	23851	114821
172	23964	114560
173	24069	114262
174	24177	113980
175	24285	113702
176	24403	113467
177	24502	113152
178	24629	112966
179	24802	112991
180	24908	112705
181	25006	112391
182	25108	112095
183	25214	111820
184	25308	111494
185	25431	111298
186	25523	110964
187	25634	110717
188	25954	111372
189	26101	111276
190	26217	111048
191	26333	110818
192	26456	110621
193	26573	110404
194	26683	110153
195	26804	109951
196	26932	109781
197	27127	109878
198	27230	109607
199	27334	109336
200	27462	109164
201	27568	108907
202	27667	108625
203	27782	108407
204	27878	108114
205	27990	107886
206	28155	107860
207	28279	107680
208	28381	107414
209	28458	107059
210	28558	106788
211	28668	106560
212	28789	106370
213	28899	106144
214	29008	105913
215	29109	105657
216	29329	105829
217	29398	105457
218	29523	105286
219	29617	105009
220	29717	104751
221	29812	104476
222	29935	104302
223	30050	104102
224	30146	103837
225	30339	103907
226	30412	103562
227	30528	103367
228	30620	103093
229	30746	102932
230	30853	102712
231	30964	102503
232	31073	102287
233	31189	102100
234	31296	101881
235	31446	101802
236	31568	101631
237	31688	101455
238	31802	101263
239	31892	100992
240	32003	100791
241	32103	100554
242	32210	100342
243	32327	100162
244	32549	100305
245	32667	100126
246	32778	99928
247	32955	99931
248	33147	99975
249	33256	99768
250	33532	100063
251	33809	100355
252	34004	100401
253	34183	100396
254	34364	100397
255	34572	100475
256	34866	100802
257	34982	100608
258	35208	100732
259	35454	100909
260	35649	100938
261	35834	100937
262	36188	101411
263	36419	101533
264	36587	101477
265	36788	101514
266	36990	101551
267	37181	101556
268	37280	101308
269	37377	101058
270	37482	100828
271	37582	100589
272	37685	100357
273	37788	100125
274	37897	99911
275	38006	99697
276	38133	99532
277	38307	99488
278	38414	99271
279	38511	99028
280	38609	98791
281	38717	98578
282	38810	98329
283	38927	98141
284	39031	97920
285	39135	97702
286	39301	97636
287	39442	97509
288	39542	97281
289	39659	97097
290	39778	96916
291	39898	96740
292	40000	96520
293	40096	96285
294	40207	96089
295	40341	95948
296	40529	95932
297	40642	95742
298	40744	95525
299	40865	95352
300	40968	95140
301	41085	94960
302	41187	94744
303	41288	94528
304	41566	94718
305	41761	94713
306	41886	94550
307	41984	94329
308	42082	94105
309	42190	93908
310	42299	93710
311	42401	93500
312	42503	93289
313	42595	93059
314	42756	92978
315	43005	93087
316	43122	92910
317	43228	92710
318	43325	92490
319	43438	92306
320	43546	92111
321	43652	91914
322	43802	91808
323	43983	91767
324	44084	91561
325	44194	91370
326	44302	91178
327	44431	91030
328	44547	90854
329	44644	90641
330	44752	90451
331	44905	90352
332	45078	90291
333	45183	90096
334	45294	89912
335	45408	89735
336	45514	89544
337	45637	89385
338	45743	89193
339	45861	89024
340	45998	88893
341	46173	88836
342	46272	88632
343	46376	88438
344	46482	88249
345	46580	88045
346	46693	87870
347	46808	87698
348	46919	87520
349	47104	87480
350	47397	87638
351	47596	87621
352	47775	87565
353	47979	87555
354	48193	87561
355	48466	87674
356	48693	87702
357	48890	87675
358	49118	87701
359	49357	87745
360	49582	87765
361	49883	87915
362	50009	87756
363	50181	87679
364	50362	87616
365	50601	87653
366	50831	87673
367	50996	87581
368	51103	87388
369	51202	87181
370	51341	87044
371	51460	86874
372	51572	86691
373	51665	86478
374	51784	86307
375	51920	86166
376	52091	86082
377	52199	85894
378	52307	85706
379	52416	85521
380	52511	85313
381	52629	85144
382	52743	84967
383	52844	84771
384	52956	84593
385	53338	84843
386	53446	84658
387	53558	84479
388	53663	84288
389	53753	84076
390	53866	83899
391	53971	83711
392	54087	83539
393	54188	83346
394	54396	83316
395	54514	83148
396	54630	82978
397	54749	82811
398	54845	82611
399	54943	82414
400	55038	82214
401	55148	82037
402	55201	81774
403	55332	81629
404	55537	81592
405	55643	81409
406	55749	81227
407	55851	81039
408	55948	80844
409	56059	80670
410	56166	80491
411	56277	80318
412	56389	80146
413	56598	80112
414	56700	79927
415	56799	79737
416	56900	79551
417	57014	79383
418	57120	79205
419	57227	79028
420	57329	78845
421	57448	78684
422	57664	78658
423	57765	78473
424	57870	78294
425	57985	78130
426	58071	77926
427	58188	77766
428	58288	77581
429	58404	77420
430	58529	77269
431	58739	77231
432	58855	77069
433	58959	76891
434	59063	76714
435	59170	76541
436	59283	76376
437	59383	76195
438	59499	76034
439	59602	75857
440	59769	75761
441	59929	75657
442	60028	75475
443	60126	75293
444	60224	75111
445	60335	74945
446	60436	74768
447	60558	74616
448	60666	74448
449	60848	74370
450	61130	74413
451	61331	74358
452	61515	74280
453	61719	74227
454	61915	74162
455	62185	74186
456	62388	74128
457	62571	74047
458	62779	73995
459	62972	73923
460	63139	73822
461	63394	73823
462	63653	73826
463	63833	73738
464	64020	73657
465	64209	73578
466	64420	73525
467	64742	73596
468	64908	73489
469	65011	73310
470	65115	73134
471	65213	72951
472	65326	72784
473	65427	72605
474	65520	72417
475	65623	72240
476	65731	72070
477	66121	72207
478	66239	72047
479	66348	71877
480	66453	71703
481	66574	71546
482	66680	71374
483	66806	71223
484	66900	71038
485	67000	70861
486	67212	70800
487	67313	70624
488	67427	70460
489	67532	70288
490	67631	70110
491	67744	69947
492	67879	69807
493	67978	69629
494	68093	69468
495	68301	69402
496	68391	69217
497	68498	69048
498	68610	68885
499	68709	68709
500	68811	68537
501	68915	68366
502	68998	68175
503	69093	67996
504	69244	67873
505	69420	67774
506	69532	67612
507	69622	67429
508	69735	67269
509	69849	67110
510	69953	66941
511	70070	66786
