iter	Passed	Remaining
0	128	128015
1	234	116845
2	336	111728
3	465	115996
4	588	117137
5	678	112460
6	781	110857
7	885	109741
8	989	108968
9	1102	109128
10	1199	107820
11	1298	106874
12	1405	106706
13	1524	107364
14	1637	107509
15	1751	107724
16	1847	106846
17	1930	105332
18	2046	105680
19	2149	105341
20	2266	105683
21	2369	105320
22	2490	105803
23	2602	105826
24	2704	105459
25	2818	105568
26	2925	105431
27	3018	104781
28	3110	104138
29	3200	103490
30	3306	103351
31	3398	102814
32	3515	103003
33	3630	103150
34	3735	102991
35	3851	103131
36	3950	102813
37	4054	102653
38	4162	102568
39	4240	101777
40	4346	101669
41	4421	100850
42	4535	100946
43	4648	101002
44	4754	100904
45	4848	100561
46	4957	100515
47	5047	100109
48	5148	99926
49	5258	99917
50	5351	99587
51	5450	99362
52	5570	99540
53	5674	99401
54	5777	99275
55	5897	99422
56	5984	99003
57	6088	98890
58	6195	98813
59	6301	98727
60	6405	98605
61	6528	98767
62	6632	98647
63	6724	98348
64	6849	98529
65	6944	98273
66	7051	98196
67	7162	98170
68	7276	98174
69	7381	98062
70	7504	98193
71	7608	98062
72	7698	97756
73	7785	97425
74	7900	97438
75	7999	97254
76	8110	97217
77	8216	97124
78	8318	96981
79	8438	97040
80	8564	97165
81	8703	97440
82	8913	98475
83	9147	99751
84	9382	100996
85	9560	101603
86	9766	102489
87	10013	103778
88	10204	104450
89	10406	105220
90	10557	105456
91	10797	106565
92	11007	107349
93	11200	107956
94	11400	108608
95	11596	109203
96	11797	109823
97	12053	110942
98	12245	111450
99	12458	112130
100	12629	112415
101	12736	112132
102	12854	111942
103	12991	111927
104	13094	111615
105	13209	111407
106	13318	111154
107	13426	110896
108	13524	110557
109	13633	110306
110	13747	110101
111	13859	109888
112	13961	109593
113	14078	109419
114	14170	109053
115	14276	108794
116	14388	108593
117	14484	108266
118	14588	108002
119	14701	107809
120	14807	107571
121	15024	108123
122	15205	108417
123	15363	108532
124	15542	108796
125	15741	109192
126	15938	109559
127	16178	110212
128	16353	110420
129	16556	110799
130	16725	110951
131	16875	110970
132	17059	111205
133	17239	111416
134	17397	111471
135	17620	111940
136	17811	112198
137	17900	111812
138	18010	111564
139	18137	111417
140	18272	111319
141	18424	111328
142	18636	111689
143	18823	111895
144	19022	112165
145	19201	112315
146	19330	112169
147	19418	111788
148	19546	111638
149	19729	111800
150	19905	111916
151	20154	112438
152	20341	112608
153	20511	112678
154	20672	112696
155	20845	112780
156	21014	112835
157	21189	112919
158	21341	112881
159	21525	113009
160	21690	113030
161	21857	113063
162	22065	113307
163	22242	113381
164	22424	113483
165	22556	113326
166	22735	113405
167	22958	113700
168	23346	114799
169	23655	115494
170	23936	116044
171	24242	116699
172	24603	117612
173	24909	118246
174	25207	118835
175	25549	119617
176	25797	119952
177	26036	120235
178	26327	120753
179	26547	120940
180	26815	121336
181	27011	121404
182	27202	121444
183	27353	121306
184	27558	121405
185	27705	121249
186	27866	121153
187	28015	121001
188	28270	121309
189	28539	121667
190	28835	122135
191	29022	122137
192	29227	122208
193	29437	122301
194	29647	122390
195	29838	122400
196	29951	122087
197	30143	122096
198	30336	122108
199	30507	122031
200	30683	121972
201	30865	121933
202	31030	121829
203	31217	121807
204	31431	121891
205	31619	121875
206	31792	121793
207	31915	121525
208	32108	121519
209	32482	122196
210	32824	122743
211	33174	123307
212	33424	123497
213	33692	123749
214	33895	123756
215	34134	123896
216	34363	123995
217	34581	124049
218	34690	123714
219	34896	123722
220	35071	123621
221	35227	123455
222	35423	123424
223	35599	123325
224	35715	123021
225	35896	122937
226	36105	122949
227	36340	123047
228	36587	123183
229	36838	123329
230	37080	123441
231	37418	123867
232	37786	124386
233	38103	124733
234	38288	124640
235	38534	124747
236	38747	124744
237	39112	125227
238	39372	125364
239	39714	125761
240	40031	126074
241	40255	126090
242	40574	126398
243	40815	126462
244	41075	126579
245	41242	126408
246	41418	126267
247	41571	126055
248	41745	125907
249	41931	125794
250	42074	125553
251	42174	125184
252	42295	124880
253	42490	124795
254	42649	124603
255	42863	124571
256	43018	124369
257	43180	124184
258	43401	124171
259	43576	124025
260	43729	123816
261	43891	123632
262	44139	123692
263	44305	123519
264	44492	123404
265	44666	123252
266	44802	122997
267	44918	122687
268	45119	122612
269	45436	122846
270	45774	123134
271	46075	123318
272	46369	123482
273	46522	123268
274	46760	123278
275	47044	123406
276	47344	123573
277	47482	123317
278	47693	123251
279	47841	123020
280	48141	123181
281	48438	123328
282	48641	123237
283	48846	123149
284	49116	123221
285	49415	123367
286	49634	123307
287	50093	123841
288	50517	124284
289	50799	124369
290	51007	124275
291	51232	124220
292	51564	124423
293	51867	124553
294	52145	124619
295	52410	124651
296	52673	124679
297	53008	124871
298	53293	124946
299	53582	125025
300	53895	125159
301	54150	125154
302	54403	125144
303	54722	125284
304	55087	125526
305	55345	125523
306	55612	125535
307	55818	125410
308	55981	125187
309	56126	124926
310	56288	124702
311	56474	124533
312	56664	124372
313	56830	124158
314	56930	123801
315	57143	123690
316	57341	123546
317	57531	123384
318	57756	123298
319	57932	123106
320	58096	122888
321	58311	122780
322	58554	122728
323	58797	122675
324	59020	122580
325	59208	122413
326	59427	122307
327	59631	122172
328	59859	122084
329	60005	121828
330	60100	121471
331	60267	121262
332	60485	121151
333	60676	120988
334	60862	120816
335	61065	120676
336	61208	120420
337	61390	120237
338	61548	120009
339	61759	119886
340	62000	119818
341	62161	119596
342	62337	119405
343	62502	119191
344	62702	119044
345	62858	118813
346	63056	118663
347	63196	118402
348	63370	118207
349	63591	118097
350	63805	117977
351	63973	117768
352	64122	117528
353	64298	117335
354	64504	117198
355	64669	116987
356	64846	116795
357	65077	116703
358	65307	116607
359	65524	116488
360	65810	116490
361	66099	116496
362	66354	116439
363	66635	116428
364	66865	116327
