iter	Logloss
0	0.6658610665
1	0.6401160287
2	0.6161905354
3	0.5950640051
4	0.574555342
5	0.555802204
6	0.5390198328
7	0.5231745229
8	0.5096251768
9	0.4967303242
10	0.4851313946
11	0.4731650569
12	0.462171798
13	0.4521038785
14	0.4430178348
15	0.4346882447
16	0.427965305
17	0.4208114404
18	0.4142721113
19	0.4082132709
20	0.4024545807
21	0.3973431534
22	0.3928796999
23	0.3888151167
24	0.3846065923
25	0.380660334
26	0.3770621765
27	0.374099502
28	0.3711495097
29	0.3681659402
30	0.3654371612
31	0.363107285
32	0.3609422771
33	0.3593121025
34	0.3572384023
35	0.3553691667
36	0.353833667
37	0.3521438866
38	0.350744667
39	0.3492763228
40	0.3479377001
41	0.3466404468
42	0.3453817243
43	0.3441892725
44	0.3431738985
45	0.3422994385
46	0.3415617596
47	0.3405515492
48	0.3397355914
49	0.3388550954
50	0.3381106371
51	0.3374848865
52	0.3367864318
53	0.3361369993
54	0.335504643
55	0.3349424821
56	0.3343851454
57	0.333873187
58	0.3333326533
59	0.3328120587
60	0.3323509344
61	0.3319297308
62	0.331620487
63	0.3311845821
64	0.330834604
65	0.3305185693
66	0.330196322
67	0.3298545127
68	0.3295726966
69	0.3293312896
70	0.3290642501
71	0.3288208896
72	0.3286266437
73	0.3283937143
74	0.32811143
75	0.3278422001
76	0.3275908394
77	0.3273854097
78	0.3272077906
79	0.327030221
80	0.3268080781
81	0.3266338671
82	0.3264263772
83	0.3262127664
84	0.3260664677
85	0.3259124972
86	0.3257874443
87	0.3256123927
88	0.3254377166
89	0.3252939762
90	0.3252045777
91	0.3250724882
92	0.3249808671
93	0.3248649624
94	0.3247447911
95	0.3246067457
96	0.3244760663
97	0.3244011099
98	0.3243287709
99	0.3242396345
100	0.3241125494
101	0.3239875711
102	0.3238987066
103	0.3237912861
104	0.3237058027
105	0.3236149738
106	0.3235281672
107	0.3234520522
108	0.3233748514
109	0.3232982545
110	0.3232195366
111	0.323164409
112	0.3230773084
113	0.3230323687
114	0.3229722981
115	0.3229179063
116	0.3228445515
117	0.3227803568
118	0.3227463504
119	0.3227009929
120	0.3226451867
121	0.3225748836
122	0.3225262232
123	0.3224768306
124	0.3224052665
125	0.3223700152
126	0.3223235967
127	0.3222562519
128	0.3221876247
129	0.3221175869
130	0.322066073
131	0.3219975407
132	0.3219465551
133	0.3218883791
134	0.3218648092
135	0.3218018843
136	0.3217522389
137	0.3217006437
138	0.3216400399
139	0.3215763316
140	0.321543565
141	0.3215279481
142	0.3214826464
143	0.3214479617
144	0.3214044514
145	0.321357937
146	0.3213129751
147	0.3212979676
148	0.3212588667
149	0.3212231333
150	0.3211583011
151	0.3211090721
152	0.3210656289
153	0.3210212216
154	0.3209843621
155	0.3209508201
156	0.3208896662
157	0.3208592746
158	0.3208200508
159	0.3207910549
160	0.3207826804
161	0.320740581
162	0.3206953314
163	0.3206542282
164	0.3206272383
165	0.3205936982
166	0.3205747745
167	0.3205473868
168	0.3205221469
169	0.3204867701
170	0.3204442878
171	0.3204187851
172	0.3203743659
173	0.3203368645
174	0.320299461
175	0.3202676195
176	0.3202224372
177	0.3202057049
178	0.3201754417
179	0.3201376202
180	0.3201078326
181	0.3200720406
182	0.3200393464
183	0.3200014805
184	0.319971443
185	0.3199413252
186	0.3199005201
187	0.3198750856
188	0.3198415817
189	0.3198000068
190	0.3197688676
191	0.319742236
192	0.3197262955
193	0.3197018294
194	0.3196831206
195	0.3196554316
196	0.3196517257
197	0.3196276351
198	0.3195922923
199	0.3195630002
200	0.3195376536
201	0.3195164248
202	0.3194884829
203	0.3194583217
204	0.3194214668
205	0.3193900069
206	0.3193609584
207	0.3193567878
208	0.3193235544
209	0.3193041043
210	0.3192918533
211	0.3192547616
212	0.3192237896
213	0.3192036245
214	0.3191865673
215	0.3191571248
216	0.3191453958
217	0.3191341875
218	0.319130947
219	0.3191044358
220	0.3190862729
221	0.319060551
222	0.3190490915
223	0.3190234784
224	0.3190221442
225	0.3190156999
226	0.3189905068
227	0.3189658976
228	0.3189400427
229	0.3189348989
230	0.3189235021
231	0.3188956469
232	0.3188739411
233	0.3188431527
234	0.3188403758
235	0.3188140055
236	0.3188068948
237	0.3187806833
238	0.3187509094
239	0.3187265234
240	0.3187069708
241	0.3186916265
242	0.3186697417
243	0.3186618781
244	0.3186517868
245	0.3186240701
246	0.3186168742
247	0.3185955779
248	0.3185684194
249	0.318550599
250	0.3185279039
251	0.3185012212
252	0.3184681574
253	0.3184474281
254	0.3184298844
255	0.3184041294
256	0.3184008817
257	0.3183751593
258	0.3183571769
259	0.3183389373
260	0.3183282656
261	0.318316099
262	0.3182974144
263	0.3182767709
264	0.3182614621
265	0.3182477262
266	0.3182298394
267	0.3182138486
268	0.3182116304
269	0.3181969793
270	0.3181797894
271	0.318154214
272	0.3181392775
273	0.3181326459
274	0.3181143266
275	0.3180865352
276	0.3180698311
277	0.3180637815
278	0.3180476416
279	0.3180475147
280	0.3180250093
281	0.3180058956
282	0.317991925
283	0.3179793656
284	0.3179690221
285	0.3179500688
286	0.3179409691
287	0.3179263292
288	0.3179102804
289	0.3178902479
290	0.317873153
291	0.3178696543
292	0.3178496721
293	0.3178369613
294	0.3178245378
295	0.3178109302
296	0.3177890779
297	0.3177700587
298	0.3177648494
299	0.3177456433
300	0.3177355346
301	0.317730397
302	0.3177138778
303	0.3176950722
304	0.3176726738
305	0.3176521326
306	0.3176273973
307	0.3176023
308	0.3175828107
309	0.3175784669
310	0.3175624899
311	0.3175406221
312	0.3175188717
313	0.3175064527
314	0.3175056687
315	0.3174962877
316	0.3174795464
317	0.3174599605
318	0.3174502664
319	0.3174399249
320	0.317425225
321	0.3174221126
322	0.3174075483
323	0.3173889377
324	0.3173739864
325	0.3173482619
326	0.317331572
327	0.3173111756
328	0.3172991735
329	0.3172898222
330	0.3172897179
331	0.3172713318
332	0.3172652805
333	0.3172537121
334	0.3172362829
335	0.317213486
336	0.3172053388
337	0.3171876245
338	0.3171760385
339	0.3171573829
340	0.3171352043
341	0.3171267589
342	0.3171198418
343	0.3171027873
344	0.3170883382
345	0.3170752294
346	0.3170583947
347	0.3170446032
348	0.3170275954
349	0.3170082124
350	0.3169844251
351	0.3169825034
352	0.3169778568
353	0.3169592982
354	0.3169408601
355	0.3169273272
356	0.3169096905
357	0.3168997862
358	0.3168909629
359	0.3168680353
360	0.3168556963
361	0.3168526372
362	0.3168306553
363	0.3168148853
364	0.3168040319
