iter	Passed	Remaining
399	57612	86418
400	57726	86230
401	57835	86034
402	57966	85870
403	58070	85668
404	58178	85472
405	58287	85277
406	58427	85129
407	58637	85081
408	58767	84918
409	58875	84723
410	58988	84535
411	59086	84327
412	59187	84123
413	59287	83919
414	59395	83726
415	59506	83537
416	59929	83786
417	60055	83617
418	60166	83429
419	60264	83222
420	60361	83014
421	60464	82815
422	60563	82612
423	60677	82429
424	60811	82273
425	61077	82296
426	61215	82146
427	61321	81953
428	61424	81756
429	61521	81552
430	61631	81364
431	61731	81166
432	61860	81004
433	62158	81064
434	62438	81098
435	62630	81017
436	62854	80977
437	63051	80902
438	63242	80818
439	63587	80929
440	63874	80965
441	64068	80882
442	64299	80846
443	64494	80763
444	64683	80672
445	64931	80654
446	65257	80732
447	65447	80640
448	65659	80575
449	65879	80519
450	66004	80347
451	66130	80175
452	66421	80204
453	66626	80128
454	66728	79927
455	66822	79717
456	66937	79534
457	67032	79326
458	67132	79125
459	67266	78964
460	67655	79102
461	67792	78944
462	67902	78755
463	68010	78564
464	68126	78382
465	68230	78187
466	68347	78006
467	68454	77815
468	68548	77610
469	68709	77480
470	68938	77427
471	69039	77230
472	69158	77053
473	69263	76862
474	69391	76695
475	69504	76513
476	69601	76314
477	69718	76136
478	69859	75984
479	70110	75953
480	70218	75766
481	70329	75582
482	70442	75401
483	70552	75217
484	70650	75021
485	70750	74826
486	70848	74630
487	70955	74444
488	71203	74407
489	71319	74230
490	71446	74065
491	71555	73882
492	71659	73694
493	71767	73510
494	71869	73321
495	71972	73133
496	72081	72951
497	72344	72925
498	72488	72779
499	72588	72588
500	72696	72405
501	72799	72219
502	72902	72033
503	73011	71853
504	73124	71676
505	73234	71497
506	73675	71640
507	73780	71456
508	73879	71266
509	73981	71080
510	74086	70896
511	74213	70734
512	74321	70554
513	74425	70370
514	74543	70200
515	74819	70179
516	74980	70049
517	75077	69859
518	75191	69686
519	75292	69501
520	75392	69314
521	75519	69153
522	75627	68975
523	75870	68920
524	76076	68831
525	76302	68758
526	76502	68663
527	76680	68547
528	76926	68492
529	77248	68503
530	77476	68430
531	77668	68324
532	77862	68220
533	78069	68127
534	78339	68089
535	78677	68109
536	78908	68034
537	79098	67924
538	79253	67784
539	79465	67692
540	79967	67847
541	80262	67823
542	80425	67687
543	80537	67509
544	80633	67317
545	80761	67152
546	80862	66966
547	80966	66782
548	81077	66604
549	81195	66432
550	81366	66304
551	81565	66197
552	81689	66030
553	81791	65846
554	81897	65665
555	82013	65493
556	82129	65320
557	82212	65121
558	82310	64935
559	82432	64768
560	82664	64687
561	82795	64527
562	82902	64348
563	83016	64175
564	83122	63997
565	83233	63822
566	83360	63659
567	83482	63493
568	83652	63364
569	83885	63282
570	83994	63106
571	84125	62947
572	84239	62775
573	84358	62607
574	84475	62438
575	84575	62256
576	84679	62078
577	84941	62016
578	85126	61897
579	85232	61719
580	85341	61545
581	85452	61372
582	85556	61195
583	85670	61025
584	85776	60849
585	85911	60694
586	86275	60701
587	86529	60629
588	86635	60453
589	86744	60280
590	86856	60108
591	86978	59944
592	87090	59773
593	87203	59603
594	87350	59456
595	87629	59399
596	87725	59218
597	87835	59046
598	87955	58881
599	88058	58705
600	88175	58539
601	88283	58366
602	88401	58201
603	88530	58043
604	88752	57945
605	88853	57769
606	88969	57603
607	89069	57426
608	89165	57247
609	89263	57070
610	89379	56904
611	89492	56737
612	89599	56566
613	89859	56491
614	89987	56333
615	90107	56170
616	90333	56073
617	90532	55960
618	90729	55844
619	91056	55808
620	91272	55703
621	91466	55585
622	91641	55455
623	91826	55331
624	92020	55212
625	92472	55246
626	92792	55201
627	93058	55124
628	93286	55022
629	93523	54926
630	93703	54796
631	93949	54704
632	94202	54616
633	94407	54499
634	94529	54335
635	94634	54161
636	94741	53989
637	94842	53813
638	94956	53645
639	95053	53467
640	95303	53375
641	95477	53241
642	95588	53071
643	95689	52896
644	95799	52727
645	95901	52552
646	96008	52381
647	96122	52214
648	96255	52058
649	96397	51906
650	96646	51811
651	96781	51656
652	96888	51486
653	96983	51309
654	97105	51147
655	97207	50974
656	97333	50814
657	97440	50645
658	97571	50488
659	97985	50477
660	98109	50316
661	98213	50145
662	98332	49981
663	98440	49813
664	98545	49643
665	98651	49473
666	98755	49303
667	98900	49154
668	99152	49057
669	99254	48886
670	99371	48723
671	99485	48558
672	99597	48393
673	99695	48220
674	99797	48050
675	99905	47883
676	100000	47710
677	100233	47603
678	100409	47468
679	100507	47297
680	100611	47129
681	100720	46963
682	100822	46794
683	100925	46626
684	101027	46457
685	101145	46297
686	101429	46211
687	101579	46065
688	101682	45897
689	101786	45730
690	101883	45560
691	101981	45390
692	102097	45229
693	102199	45062
694	102341	44912
695	102651	44836
696	102817	44696
697	102918	44529
698	103025	44364
699	103150	44207
700	103250	44039
701	103352	43873
702	103494	43723
703	103934	43699
704	104135	43574
705	104276	43423
706	104464	43293
707	104661	43165
708	104948	43074
709	105242	42986
710	105490	42878
711	105670	42743
712	105889	42623
713	106074	42489
714	106290	42367
715	106602	42283
716	106781	42146
717	106955	42007
718	107149	41876
719	107278	41719
720	107504	41600
721	107806	41510
722	108128	41426
723	108368	41311
724	108453	41137
725	108560	40971
